CRASH_DATE,count
2021-01-01,257
2021-01-02,220
2021-01-03,186
2021-01-04,242
2021-01-05,228
2021-01-06,220
2021-01-07,285
2021-01-08,272
2021-01-09,244
2021-01-10,177
2021-01-11,238
2021-01-12,279
2021-01-13,245
2021-01-14,253
2021-01-15,272
2021-01-16,265
2021-01-17,210
2021-01-18,225
2021-01-19,261
2021-01-20,253
2021-01-21,251
2021-01-22,254
2021-01-23,251
2021-01-24,212
2021-01-25,260
2021-01-26,263
2021-01-27,262
2021-01-28,262
2021-01-29,291
2021-01-30,284
2021-01-31,297
2021-02-01,239
2021-02-02,238
2021-02-03,246
2021-02-04,277
2021-02-05,326
2021-02-06,275
2021-02-07,243
2021-02-08,301
2021-02-09,229
2021-02-10,279
2021-02-11,299
2021-02-12,290
2021-02-13,210
2021-02-14,184
2021-02-15,208
2021-02-16,213
2021-02-17,239
2021-02-18,256
2021-02-19,202
2021-02-20,257
2021-02-21,208
2021-02-22,245
2021-02-23,240
2021-02-24,267
2021-02-25,269
2021-02-26,301
2021-02-27,223
2021-02-28,212
2021-03-01,224
2021-03-02,268
2021-03-03,244
2021-03-04,262
2021-03-05,306
2021-03-06,251
2021-03-07,216
2021-03-08,250
2021-03-09,299
2021-03-10,224
2021-03-11,287
2021-03-12,338
2021-03-13,252
2021-03-14,244
2021-03-15,253
2021-03-16,237
2021-03-17,243
2021-03-18,244
2021-03-19,309
2021-03-20,283
2021-03-21,261
2021-03-22,295
2021-03-23,283
2021-03-24,268
2021-03-25,257
2021-03-26,336
2021-03-27,325
2021-03-28,198
2021-03-29,240
2021-03-30,281
2021-03-31,284
2021-04-01,263
2021-04-02,283
2021-04-03,281
2021-04-04,259
2021-04-05,268
2021-04-06,318
2021-04-07,303
2021-04-08,310
2021-04-09,281
2021-04-10,294
2021-04-11,215
2021-04-12,264
2021-04-13,321
2021-04-14,295
2021-04-15,270
2021-04-16,298
2021-04-17,264
2021-04-18,258
2021-04-19,320
2021-04-20,313
2021-04-21,283
2021-04-22,252
2021-04-23,357
2021-04-24,301
2021-04-25,273
2021-04-26,300
2021-04-27,273
2021-04-28,380
2021-04-29,324
2021-04-30,331
2021-05-01,318
2021-05-02,330
2021-05-03,316
2021-05-04,345
2021-05-05,339
2021-05-06,339
2021-05-07,319
2021-05-08,305
2021-05-09,266
2021-05-10,279
2021-05-11,326
2021-05-12,329
2021-05-13,318
2021-05-14,411
2021-05-15,321
2021-05-16,337
2021-05-17,320
2021-05-18,374
2021-05-19,347
2021-05-20,385
2021-05-21,384
2021-05-22,378
2021-05-23,330
2021-05-24,322
2021-05-25,354
2021-05-26,333
2021-05-27,433
2021-05-28,358
2021-05-29,242
2021-05-30,256
2021-05-31,275
2021-06-01,355
2021-06-02,339
2021-06-03,288
2021-06-04,331
2021-06-05,365
2021-06-06,367
2021-06-07,381
2021-06-08,355
2021-06-09,353
2021-06-10,370
2021-06-11,343
2021-06-12,327
2021-06-13,330
2021-06-14,329
2021-06-15,369
2021-06-16,370
2021-06-17,388
2021-06-18,387
2021-06-19,372
2021-06-20,323
2021-06-21,361
2021-06-22,290
2021-06-23,353
2021-06-24,384
2021-06-25,381
2021-06-26,375
2021-06-27,332
2021-06-28,379
2021-06-29,350
2021-06-30,361
2021-07-01,319
2021-07-02,333
2021-07-03,291
2021-07-04,289
2021-07-05,322
2021-07-06,326
2021-07-07,324
2021-07-08,305
2021-07-09,346
2021-07-10,293
2021-07-11,263
2021-07-12,303
2021-07-13,298
2021-07-14,331
2021-07-15,372
2021-07-16,350
2021-07-17,339
2021-07-18,310
2021-07-19,328
2021-07-20,286
2021-07-21,330
2021-07-22,329
2021-07-23,324
2021-07-24,337
2021-07-25,322
2021-07-26,359
2021-07-27,318
2021-07-28,300
2021-07-29,319
2021-07-30,383
2021-07-31,353
2021-08-01,303
2021-08-02,325
2021-08-03,313
2021-08-04,291
2021-08-05,304
2021-08-06,355
2021-08-07,334
2021-08-08,314
2021-08-09,339
2021-08-10,331
2021-08-11,316
2021-08-12,324
2021-08-13,358
2021-08-14,302
2021-08-15,314
2021-08-16,301
2021-08-17,286
2021-08-18,334
2021-08-19,286
2021-08-20,325
2021-08-21,321
2021-08-22,257
2021-08-23,293
2021-08-24,332
2021-08-25,336
2021-08-26,343
2021-08-27,349
2021-08-28,303
2021-08-29,358
2021-08-30,323
2021-08-31,310
2021-09-01,319
2021-09-02,365
2021-09-03,352
2021-09-04,341
2021-09-05,293
2021-09-06,299
2021-09-07,337
2021-09-08,334
2021-09-09,294
2021-09-10,352
2021-09-11,333
2021-09-12,321
2021-09-13,378
2021-09-14,342
2021-09-15,356
2021-09-16,269
2021-09-17,375
2021-09-18,319
2021-09-19,318
2021-09-20,317
2021-09-21,311
2021-09-22,289
2021-09-23,319
2021-09-24,383
2021-09-25,358
2021-09-26,314
2021-09-27,325
2021-09-28,296
2021-09-29,343
2021-09-30,344
2021-10-01,385
2021-10-02,349
2021-10-03,328
2021-10-04,290
2021-10-05,318
2021-10-06,270
2021-10-07,368
2021-10-08,361
2021-10-09,268
2021-10-10,269
2021-10-11,297
2021-10-12,321
2021-10-13,312
2021-10-14,353
2021-10-15,381
2021-10-16,339
2021-10-17,319
2021-10-18,318
2021-10-19,302
2021-10-20,365
2021-10-21,371
2021-10-22,381
2021-10-23,312
2021-10-24,236
2021-10-25,330
2021-10-26,323
2021-10-27,323
2021-10-28,344
2021-10-29,357
2021-10-30,352
2021-10-31,362
2021-11-01,331
2021-11-02,276
2021-11-03,321
2021-11-04,317
2021-11-05,386
2021-11-06,335
2021-11-07,265
2021-11-08,329
2021-11-09,327
2021-11-10,346
2021-11-11,292
2021-11-12,353
2021-11-13,335
2021-11-14,269
2021-11-15,343
2021-11-16,315
2021-11-17,317
2021-11-18,351
2021-11-19,349
2021-11-20,305
2021-11-21,273
2021-11-22,314
2021-11-23,340
2021-11-24,368
2021-11-25,217
2021-11-26,261
2021-11-27,264
2021-11-28,271
2021-11-29,323
2021-11-30,282
2021-12-01,266
2021-12-02,319
2021-12-03,343
